report_date,active_users,total_purchase,total_redeem,direct_purchase,purchase_bal,purchase_bank,total_share,total_consume,total_transfer,total_tftobal,total_tftocard,cat1_total,cat2_total,cat3_total,cat4_total,avg_balance,avg_yesterday_balance
20130718,772,24234505,11765356,24160561,12633212,11527349,73944,3195410,8569946,8569946,0,577438,2081710,0,536262,859450.4170984456,843298.6696891192
20130719,788,33680124,9244769,33603190,25296006,8307184,76934,1204252,8040517,8040517,0,713031,140760,0,350461,873008.980964467,841999.6472081218
20130720,810,20439079,4601143,20360981,14965131,5395850,78098,1780862,2820281,2820281,0,229770,376900,0,1174192,868850.6333333333,849297.6259259259
20130721,817,21142394,2681331,21064648,14155152,6909496,77746,761299,1920032,1920032,0,100000,26681,0,634618,884002.5410036719,861406.3806609547
20130722,840,40448896,19144267,40374049,33166661,7207388,74847,605231,18539036,18539036,0,20220,64584,0,520427,885160.3630952381,859797.7095238095
20130723,869,58136147,24404051,58056583,48105087,9951496,79564,2173231,22230820,22230820,0,483047,2000,0,1688184,894438.2059838895,855621.0644418872
20130724,885,48422518,36258592,48337561,38512434,9825127,84957,712047,35546545,35546545,0,320000,12669,0,379378,892012.1209039548,878267.5717514125
20130725,906,57433418,38212836,57347209,42064761,15282448,86209,1557611,36655225,36655225,0,526800,183410,0,847401,892551.1136865342,871336.3432671082
20130726,925,44721817,39192369,44633279,33299638,11333641,88538,1035450,38156919,38156919,0,469737,48517,0,517196,880195.412972973,874217.6313513514
20130727,918,17194451,15058893,17102400,10482577,6619823,92051,1922114,13136779,13136779,0,1005922,58834,0,857358,889233.4586056644,886907.142701525
20130728,936,36255382,7683211,36164421,32964064,3200357,90961,1161872,6521339,6521339,0,551807,27184,0,582881,902658.6388888889,872132.8151709401
20130729,952,53512076,18599364,53423360,41820041,11603319,88716,1202332,17397032,17397032,0,559277,121890,0,521165,924160.9222689075,887487.9054621849
20130730,970,47481243,13048582,47387817,33779762,13608055,93426,1318647,11729935,11729935,0,510220,88782,0,719645,942509.1329896908,907011.5443298969
20130731,977,54569637,9534040,54465204,46575247,7889957,104433,1191442,8342598,8342598,0,651652,68160,0,471630,981852.0532241556,935756.252814739
20130801,990,53369962,18864468,53261431,29717147,23544284,108531,1935577,16928891,16928891,0,897850,156126,0,881601,1003813.0808080808,968959.0464646465
20130802,1011,38064536,40150769,37949861,25198904,12750957,114675,1140935,39009834,39009834,0,130341,295063,0,715531,980898.8298714145,982962.3639960436
20130803,1011,21595789,20701797,21479421,10093238,11386183,116368,1725397,18976400,18976400,0,1029086,69092,0,627219,981783.0949554896,980898.8298714145
20130804,1027,45745254,8263965,45630463,41159712,4470751,114791,1389042,6874923,6874923,0,591302,106568,0,691172,1002983.4449853944,966487.5452775073
20130805,1045,43632203,15797507,43520180,18112798,25407382,112023,1757807,14039700,14039700,0,583097,150694,0,1024016,1012343.24784689,985707.1751196173
20130806,1061,50866184,16401387,50749514,38122413,12627101,116670,2956008,13445379,13445379,0,1331960,417870,0,1206178,1029560.3119698397,997076.9971724788
20130807,1084,43908081,29708706,43781998,29774898,14007100,126083,1552975,28155731,28155731,0,417462,261378,0,874135,1020814.4520295203,1007715.397601476
20130808,1095,44493490,29551691,44364177,32476695,11887482,129313,1136867,28414824,28414824,0,321867,86103,0,728897,1024205.1735159818,1010559.6949771689
20130809,1102,33425186,30131015,33294291,26619531,6674760,130895,3500833,26630182,26630182,0,2442888,153280,0,904665,1020688.5989110707,1017699.333030853
20130810,1104,20615307,26614408,20482505,15003071,5479434,132802,1290443,25323965,25323965,0,722889,168430,0,399124,1013405.5570652174,1018839.5253623188
20130811,1117,55519543,15372680,55388879,49401320,5987559,130664,925608,14447072,14447072,0,126543,151160,0,647905,1037552.9077887197,1001611.2220232766
20130812,1135,94520502,28586669,94394024,77433832,16960192,126478,2062992,26523677,26523677,0,1409937,208170,0,444885,1079189.8070484581,1021098.3242290749
20130813,1158,48720919,28790328,48590757,28460439,20130318,130162,3646077,25144251,25144251,0,1782390,72720,0,1790967,1074966.2538860103,1057755.121761658
20130814,1167,30541167,15031683,30394880,22991641,7403239,146287,2060843,12970840,12970840,0,289344,841860,0,929639,1079966.0719794345,1066676.0257069408
20130815,1174,42421222,52659327,42271280,30267955,12003325,149942,6412165,46247162,46247162,0,5159036,236717,0,1016412,1064806.0485519592,1073526.751277683
20130816,1180,41683536,33739844,41535972,29961502,11574470,147564,1588741,32151103,32151103,0,153854,113378,0,1321509,1066123.722881356,1059391.7805084747
20130817,1183,17670519,4674983,17522875,10792404,6730471,147644,1555761,3119222,3119222,0,733014,443937,0,378810,1074405.3499577346,1063420.1124260356
20130818,1203,59703092,15218300,59555804,48363051,11192753,147288,1049130,14169170,13607144,562026,248919,17600,0,782611,1093521.463840399,1056543.2493765587
20130819,1202,109184209,28339260,109039743,93558910,15480833,144466,2827001,25512259,24585884,926375,1199195,326877,0,1300929,1161689.9084858568,1094431.2154742097
20130820,1226,53675509,30131225,53525266,32336915,21188351,150243,2331156,27800069,22614527,5185542,882520,178236,0,1270400,1158152.9804241436,1138948.8336052203
20130821,1224,38184446,29983342,38016570,22840717,15175853,167876,1487466,28495876,28056688,439188,565500,428944,0,493022,1166745.635620915,1160045.387254902
20130822,1251,89130737,25000672,88961196,75601493,13359703,169541,2011337,22989335,4751853,18237482,194769,303499,0,1513069,1192827.1167066346,1141564.075139888
20130823,1266,37878575,25680323,37707135,21923609,15783526,171440,2928413,22751910,16963681,5788229,1548371,269650,0,1110392,1188329.3641390204,1178694.0939968405
20130824,1261,44367268,14316598,44188538,32022342,12166196,178730,3151997,11164601,5951141,5213460,1213141,232702,0,1706154,1216872.0420301347,1193041.2172878669
20130825,1276,43306288,18117808,43128521,28531519,14597002,177767,1946279,16171529,8774008,7397521,1197869,255174,0,493236,1222307.3079937303,1202567.119905956
20130826,1294,74496541,20637986,74325753,50885562,23440191,170788,3918170,16719816,7070763,9649053,1767149,1293550,0,857471,1246926.3369397218,1205304.5788253478
20130827,1310,45268028,60137633,45089370,33855884,11233486,178658,1713586,58424047,5683840,52740207,590630,50648,0,1072308,1220345.858778626,1231696.7022900763
20130828,1321,46602319,33696861,46414328,26923896,19490432,187991,3193850,30503011,27302135,3200876,1936794,98478,0,1158578,1219953.469341408,1210184.008327025
20130829,1338,47518666,35944968,47312464,36868023,10444441,206202,9618879,26326089,6450910,19875179,221154,7800263,0,1597462,1213103.311659193,1204453.3131539612
20130830,1347,56488844,20630752,56266206,37466526,18799680,222638,7687108,12943644,6673809,6269835,1390412,5335986,0,960710,1231618.6510764663,1204997.9443207127
20130831,1366,47655303,22012016,47459849,25669538,21790311,195454,3582164,18429852,16052130,2377722,2302440,254884,0,1024840,1233260.3294289897,1214487.7913616397
20130901,1381,56239802,59339949,56045782,36564187,19481595,194020,8984938,50355011,4349781,46005230,3077249,4583852,0,1323837,1217620.1759594497,1219865.0325850833
20130902,1410,140844739,17785524,140622201,103991419,36630782,222538,4903664,12881860,6708784,6173076,3306506,636750,0,960408,1279852.9631205674,1192576.9241134753
20130903,1412,80507880,39328144,80314060,51070577,29243483,193820,3826502,35501642,13629313,21872329,2504828,45006,0,1276668,1307204.2592067989,1278040.1402266289
20130904,1419,33366708,27452600,33149101,22039123,11109978,217607,5123201,22329399,4079727,18249672,3046382,662130,0,1414689,1304923.5532064834,1300755.7533474278
20130905,1429,38716505,21800904,38491932,18051917,20440015,224573,4026090,17774814,5870621,11904193,2333203,549920,0,1142967,1307629.1973407979,1295791.8278516445
20130906,1440,38923186,33417903,38648043,17570388,21077655,275143,2960086,30457817,16081369,14376448,98699,330910,0,2530477,1301463.476388889,1297640.3631944444
20130907,1445,34076183,20344424,33848786,19377542,14471244,227397,4674119,15670305,8126616,7543689,3108803,437665,0,1127651,1306463.089965398,1296960.1425605537
20130908,1456,38796909,14919122,38571047,23022708,15548339,225862,3458751,11460371,6590099,4870272,1999704,67000,0,1392047,1312992.412087912,1296592.8331043955
20130909,1478,49312473,45621186,49051334,28145783,20905551,261139,5640803,39980383,22470137,17510246,2374201,723575,0,2543027,1295946.0345060893,1293448.5466847091
20130910,1484,94684143,37128363,94427415,59214774,35212641,256728,4737939,32390424,14101974,18288450,2799147,280850,0,1657942,1329490.5788409703,1290706.3605121293
20130911,1505,98944459,71674082,98709145,71068310,27640835,235314,4887487,66786595,8915582,57871013,3218626,318332,0,1350529,1329059.3993355483,1310939.5475083056
20130912,1513,68573684,45147220,68334304,43875535,24458769,239380,6134732,39012488,6425604,32586884,3355912,780960,0,1997860,1337515.4395241241,1322031.9867812293
20130913,1514,71655946,60512675,71385620,41601351,29784269,270326,6513431,53999244,23753632,30245612,4713046,433663,0,1366722,1343992.1605019816,1336632.0079260238
20130914,1516,30975443,36312660,30726657,14850336,15876321,248786,2449865,33862795,9025416,24837379,1076995,145605,0,1227265,1338698.4920844326,1342219.083773087
20130915,1534,37059683,25020715,36813279,22142657,14670622,246404,2993592,22027123,15270867,6756256,971109,166305,0,1856178,1330838.2542372881,1322990.1655801826
20130916,1559,161656210,45184589,161382323,134330619,27051704,273887,4585488,40599101,10354185,30244916,919927,1207490,0,2458071,1384206.2238614496,1309497.0378447722
20130917,1569,76204815,58260798,75960756,50504307,25456449,244059,3075100,55185698,18859824,36325874,1426945,545910,0,1102245,1386820.5991077118,1375384.0044614405
20130918,1569,42926608,47203221,42645589,27232465,15413124,281019,2788140,44415081,23818473,20596608,1007160,269990,0,1510990,1384094.9056724028,1386820.5991077118
20130919,1567,24778048,11418512,24509091,12890601,11618490,268957,2197881,9220631,6772365,2448266,616026,309000,0,1272855,1394387.0089342692,1385861.459476707
20130920,1584,28365762,15188254,28094290,18054480,10039810,271472,2462918,12725336,3457926,9267410,496242,928200,0,1038476,1387741.1306818181,1379421.9968434344
20130921,1587,32406340,26596179,32133842,18601415,13532427,272498,2655841,23940338,17880107,6060231,1437726,467430,0,750685,1388778.8985507246,1385117.8015122872
20130922,1592,67514169,47962055,67243692,36029859,31213833,270477,4795752,43166303,22340098,20826205,1908203,936280,0,1951269,1396698.6344221106,1384417.1557788944
20130923,1616,54658160,58285879,54396879,22328835,32068044,261281,13664826,44621053,30024517,14596536,8130005,2411151,0,3123670,1373710.7097772278,1375955.5853960395
20130924,1637,74250859,56680792,73973408,48700610,25272798,277451,6876331,49804461,22552195,27252266,4040955,750600,0,2084776,1366821.364691509,1356088.2755039707
20130925,1639,47274168,74838162,46973702,20104663,26869039,300466,3878952,70959210,41253857,29705353,1503133,1140040,0,1235779,1348335.9243441122,1365153.4923733985
20130926,1646,68718693,48467529,68406175,50986446,17419729,312518,8338252,40129277,21599517,18529760,4430820,2214743,0,1692689,1354905.0692588093,1342601.8104495748
20130927,1660,42166121,27639603,41868120,27267839,14600281,298001,3797939,23841664,11564733,12276931,1869592,347456,0,1580891,1352229.073493976,1343478.1590361446
20130928,1668,39995798,58105720,39706452,14563705,25142747,289346,6761391,51344329,16876243,34468086,3370698,1512093,0,1878600,1334886.2949640288,1345743.56235012
20130929,1680,34433848,40295202,34151131,14055266,20095865,282717,6378811,33916391,22588058,11328333,1442498,1913594,0,3022719,1321862.4916666667,1325351.392857143
20130930,1685,28398050,30181353,28118755,8182452,19936303,279295,9842291,20339062,14254160,6084902,7089923,526812,0,2225556,1316881.7109792284,1317940.0510385756
20131001,1696,19137499,12813267,18857154,6502928,12354226,280345,2004563,10808704,7433180,3375524,754200,269035,0,981328,1312069.5253537735,1308340.6149764152
20131002,1698,11562708,7233874,11272068,4072819,7199249,290640,2386169,4847705,2880222,1967483,933550,226557,0,1226062,1313073.4681978798,1310524.0959952886
20131003,1704,10101194,6223263,9809448,4241086,5568362,291746,1502285,4720978,1589382,3131596,474244,436650,0,591391,1310725.7511737088,1308449.9700704226
20131004,1715,19907689,23412350,19615445,8598422,11017023,292244,4280664,19131686,11492105,7639581,2273219,1173140,0,834305,1300275.2297376094,1302318.7638483965
20131005,1718,26364686,13966453,26074038,16185006,9889032,290648,1514007,12452446,10249721,2202725,618055,105978,0,789974,1305221.3341094295,1298004.667636787
20131006,1744,38730653,13464528,38442637,26616850,11825787,288016,2931570,10532958,8922594,1610364,1354301,332821,0,1244448,1300250.2161697247,1285762.759174312
20131007,1744,42797733,28894400,42511148,29976033,12535115,286585,6620676,22273724,7474553,14799171,4952671,181400,0,1486605,1308222.3107798165,1300250.2161697247
20131008,1765,109806912,77856096,109484867,70814343,38670524,322045,7122908,70733188,11651151,59082037,3069548,2345844,0,1707516,1310759.504815864,1292657.0594900849
20131009,1780,72422299,33999376,72136946,38830790,33306156,285353,8883001,25116375,10678490,14437885,6629023,682519,0,1571459,1321299.6904494383,1299713.7786516855
20131010,1795,72094613,52244531,71796476,36544934,35251542,298137,7061370,45183161,11880117,33303044,3916813,1663448,0,1481109,1321316.730362117,1310258.1888579386
20131011,1823,82674757,27666473,82372594,43296363,39076231,302163,3564500,24101973,12783375,11318598,1178582,743552,0,1642366,1331196.8266593528,1301022.2331321996
20131012,1846,81901136,31322983,81593823,42609762,38984061,307313,6943327,24379656,6524375,17855281,5026766,434681,0,1481880,1342009.73347779,1314610.9507042253
20131013,1880,71149981,31850475,70845311,32822745,38022566,304670,4273577,27576898,10611383,16965515,1846435,221320,0,2205822,1338643.3372340426,1317739.344680851
20131014,1910,130315300,40652625,130020702,75489865,54530837,294598,7783174,32869451,14896890,17972561,1246108,2678841,0,3858225,1364561.3345549738,1317617.5256544503
20131015,1966,85704304,35099198,85388933,41656981,43731952,315371,7010950,28088248,10639886,17448362,2290112,821219,0,3899619,1351432.988301119,1325692.8530010174
20131016,2002,100948091,51261982,100610077,49684423,50925654,338014,8108405,43153577,8534326,34619251,5552783,251813,0,2303809,1351949.7322677323,1327131.496003996
20131017,2105,87203217,23274764,86867001,35808629,51058372,336216,5594997,17679767,4512267,13167500,1834809,600722,0,3159466,1316167.1339667458,1285797.3225653206
20131018,2129,98151450,15938355,97805294,49716816,48088478,346156,4197983,11740372,9265936,2474436,961210,473625,0,2763148,1339945.9426961015,1301330.1160169092
20131019,2170,53148443,26684697,52794624,17807708,34986916,353819,7939723,18744974,7947251,10797723,5353874,1441492,0,1144357,1326824.266359447,1314628.991705069
20131020,2231,47766681,50884342,47414924,23808286,23606638,351757,4669856,46214486,3590393,42624093,1716851,585387,0,2367618,1289148.8108471537,1290546.2384580905
20131021,2270,106030290,45781403,105669458,38771841,66897617,360832,15776938,30004465,12306385,17698080,9194806,3614460,0,2967672,1293541.7991189428,1267000.4392070484
20131022,2319,145611496,96172537,145262654,80208449,65054205,348842,17065810,79106727,39792495,39314232,13865208,522130,0,2678472,1287528.608451919,1266209.5230702888
20131023,2333,106093112,73788462,105727597,55822529,49905068,365515,12090715,61697747,24671186,37026561,8332890,1460982,0,2296843,1293649.1611658807,1279802.333047578
20131024,2366,69530830,58183921,69158484,20287230,48871254,372346,7363228,50820693,24085834,26734859,1924964,1541584,0,3896680,1280401.6914623838,1275605.8719357566
20131025,2366,69936453,52225802,69558797,26323562,43235235,377656,11129979,41095823,15388480,25707343,7830378,1266472,0,2033129,1287887.1737109045,1280401.6914623838
20131026,2379,55752506,49357211,55373965,14759985,40613980,378541,4620277,44736934,3869269,40867665,2086856,705090,0,1828331,1283537.767129046,1280849.5388818833
20131027,2396,68007543,46520570,67634331,36450109,31184222,373212,11575035,34945535,22721764,12223771,1494793,8358800,0,1721442,1283398.7149415694,1274430.8631051753
20131028,2426,129993375,55089464,129632574,67259575,62372999,360801,12996206,42093258,16468981,25624277,7322112,2547181,0,3126913,1298403.6405605935,1267528.1619950535
20131029,2470,102050144,43052468,101671985,50888468,50783517,378159,5155539,37896929,22855535,15041394,2120041,725115,0,2310383,1299159.8817813764,1275274.1829959515
20131030,2524,109663260,63908701,109262475,57375950,51886525,400785,7047733,56860968,22494418,34366550,4366929,378390,0,2302414,1289492.6572900158,1271364.8605388273
20131031,2558,90926701,55607833,90518963,33377309,57141654,407738,9967594,45640239,9460426,36179813,4060566,3160180,0,2746848,1286160.4124315872,1272353.1927286943
20131101,2627,150904945,66933119,150490888,97662024,52828864,414057,8910803,58022316,20798916,37223400,3217695,2869447,0,2823661,1284343.4187285877,1252378.5059002663
20131102,2656,62132300,26705506,61714348,23865307,37849041,417952,9215431,17490075,7143672,10346403,5172815,297898,0,3744718,1283658.4920933736,1270320.090737952
20131103,2663,68707870,30895754,68291959,30519678,37772281,415911,8410792,22484962,14516429,7968533,5410546,1169600,0,1830646,1294483.316184754,1280284.24896733
20131104,2734,300027403,130970051,299614565,237955005,61659560,412838,7225760,123744291,8145407,115598884,4940631,382233,0,1902896,1322701.6909290417,1260866.5219458668
20131105,2950,180904814,82689864,180478015,64596913,115881102,426799,12228633,70461231,14710337,55750894,7907915,1180483,0,3140235,1259146.2281355932,1225853.0247457628
20131106,3061,181474910,131707820,181014598,38422060,142592538,460312,19226831,112480989,49152384,63328605,8731137,5706353,0,4789341,1229744.6791898073,1213486.2375040837
20131107,3183,167963464,83306452,167495139,39534732,127960407,468325,13495904,69810548,18133158,51677390,7810282,2117359,0,3568263,1209206.8724473766,1182610.2617027962
20131108,3280,231749471,92856307,231270156,124106307,107163849,479315,10129799,82726508,13757231,68969277,4465354,1422089,100000,4142356,1215792.267987805,1173446.7911585367
20131109,3367,126467028,45885771,125980699,36733104,89247595,486329,10908069,34977702,7874091,27103611,4203716,1752651,0,4951702,1208310.0374220375,1184377.3801603802
20131110,3673,164813471,85293644,164328004,48481839,115846165,485467,21808380,63485264,25181514,38303750,11159716,2940939,0,7707725,1129294.7789273073,1107644.948543425
20131111,3556,147986439,227124951,147425452,69094170,78331282,560987,180655486,46469465,7155297,39314168,15570919,2442223,51972859,110669485,1144196.0660854892,1166450.99071991
20131112,3484,148469647,131263524,147913613,75656414,72257199,556034,12308127,118955397,13535932,105419465,3806993,3080495,0,5420639,1172780.5206659012,1167841.9090126292
20131113,3527,174554976,79121440,174000238,104660075,69340163,554738,14898738,64222702,36973694,27249008,8878581,2195166,0,3824991,1185540.365749929,1158482.3742557415
20131114,3528,167996058,52554150,167462695,85700589,81762106,533363,8088009,44466141,22737277,21728864,4529112,630803,0,2928094,1217925.9574829931,1185204.3282312925
20131115,3562,124270704,58210254,123661256,44129861,79531395,609448,9874031,48336223,13669346,34666877,5240277,1483524,100000,3050230,1224846.4985962943,1206300.611454239
20131116,3604,118085705,28996272,117530834,62614420,54916414,554871,7299663,21696609,15626737,6069872,3919184,790100,0,2590379,1235292.081298557,1210572.4827968923
20131117,3630,111786622,42358155,111233475,45938489,65294986,553147,10008509,32349646,17699482,14650164,4174258,2486719,0,3347532,1245570.558677686,1226444.2592286502
20131118,3685,195766477,136916782,195210552,94427782,100782770,555925,14312742,122604040,41227427,81376613,7048432,3787533,0,3476777,1242950.0198100407,1226979.9533242877
20131119,3725,131365419,70308235,130801756,47990602,82811154,563663,14639949,55668286,15545895,40122391,4949257,5855587,0,3835105,1245994.0958389263,1229602.9055033557
20131120,3766,166163002,86951218,165560984,56087750,109473234,602018,13264281,73686937,22879788,50807149,7922364,859690,0,4482227,1253462.5042485395,1232429.1043547532
20131121,3773,221166938,74733962,220554500,118123549,102430951,612438,8839246,65894716,16100622,49794094,3088167,1183384,0,4567695,1289947.7251523987,1251136.9708454811
20131122,3801,128528687,82717921,127901717,42947137,84954580,626970,20387183,62330738,24678325,37652413,13442143,1611841,0,5333199,1292497.640883978,1280445.3478032097
20131123,3885,89109018,48882131,88464354,28994052,59470302,644664,6482889,42399242,11475436,30923806,3509414,604272,0,2369203,1274906.157014157,1264551.7459459458
20131124,3910,102394991,85555947,101754797,57943382,43811415,640194,7319621,78236326,9204891,69031435,2501180,1942400,0,2876041,1271061.2439897698,1266754.5831202045
20131125,3964,147143602,70113127,146505434,74040394,72465040,638168,23796084,46317043,9657210,36659833,13167661,6065709,0,4562714,1273178.5920787083,1253746.0807265388
20131126,4001,258037702,65802983,257385328,167619964,89765364,652374,16533187,49269796,10910790,38359006,8680134,2532582,0,5320471,1309451.3016745814,1261404.633591602
20131127,4033,134774128,86129498,134089685,57779508,76310177,684443,13441519,72687979,8395361,64292618,5137580,3153300,200000,4950639,1311123.0567815523,1299061.4078849491
20131128,4049,139760425,61453591,139046863,58319586,80727277,713562,12326030,49127561,20095247,29032314,8471773,408316,0,3445941,1325281.828105705,1305942.032106693
20131129,4092,122536344,123982166,121810671,43456530,78354141,725673,12980677,111001489,15313495,95687994,9039014,988414,0,2953249,1311002.028347996,1311355.3572825023
20131130,4139,116865492,119660311,116137403,58697397,57440006,728089,10367540,109292771,21919187,87373584,4991581,1458535,0,3917424,1295439.8359507127,1296115.0761053395
20131201,4186,137889992,94632233,137174775,59786618,77388157,715217,20461768,74170465,15707290,58463175,13543472,1865397,0,5052899,1291228.6765408504,1280894.7637362638
20131202,4240,345313258,128465086,344606438,181458812,163147626,706820,31233938,97231148,47382011,49849137,14717973,12764195,0,3751770,1325927.2198113208,1274783.783018868
20131203,4266,268666856,101662045,267952466,96712045,171240421,714390,25720023,75942022,22917759,53024263,8188232,12419820,0,5111971,1356993.9575714956,1317846.0881387717
20131204,4292,219456372,69981329,218681591,102384322,116297269,774781,15845867,54135462,7852080,46283382,9118849,1874880,0,4852138,1383600.0153774463,1348773.584109972
20131205,4334,190825287,118256819,190022709,69146648,120876061,802578,13825962,104430857,39525525,64905332,5882070,3989177,200000,3754715,1386935.7946469774,1370191.8011075219
20131206,4341,152197159,82625571,151391317,55634193,95757124,805842,10624967,72000604,27086231,44914373,4329771,2064010,0,4231186,1400725.9437917531,1384699.3167472933
20131207,4362,138882605,71916047,138063886,70946815,67117071,818719,14079254,57836793,7621422,50215371,4965336,5587990,0,3525928,1409334.6813388355,1393982.4213663456
20131208,4391,124886903,76314292,124072382,39666888,84405494,814521,19207555,57106737,7934169,49172568,13372269,1613192,0,4222094,1411088.7021179686,1400026.8458209976
20131209,4428,174652812,133355299,173818023,58079956,115738067,834789,20902701,112452598,12725637,99726961,13518789,3333858,0,4050054,1408624.2104787715,1399297.762195122
20131210,4473,179471612,147147341,178632183,64157045,114475138,839429,15768961,131378380,27083516,104294864,6462754,2479305,0,6826902,1401679.471272077,1394452.940755645
20131211,4518,239916977,110314592,239051211,138677071,100374140,865766,16209163,94105429,32858604,61246825,7601379,2768439,200000,5639345,1416404.307215582,1387718.5203629925
20131212,4563,140360007,92090275,139456440,37802740,101653700,903567,44454483,47635792,11324110,36311682,10893753,1886838,8750000,22923892,1413014.3309226385,1402435.8229235152
20131213,4577,164672690,90778214,163756758,51626995,112129763,915932,31197293,59580921,23943149,35637772,25801478,446849,0,4948966,1424836.9823028184,1408692.242079965
20131214,4599,129045596,52234651,128124144,60894040,67230104,921452,15765191,36469460,13547421,22922039,8987864,1372372,0,5404955,1434722.725157643,1418021.0628397479
20131215,4648,205882387,54757146,204965245,126617857,78347388,917142,18057269,36699877,8502234,28197643,11377163,1900099,10000,4770007,1452111.6725473322,1419597.6361876077
20131216,4675,196489931,156157326,195558740,76785117,118773623,931191,32671212,123486114,31097965,92388149,17126247,9458650,60649,6025666,1452352.4404278074,1443725.1452406417
20131217,4717,193980797,116537843,193053100,62804752,130248348,927697,12025370,104512473,14476061,90036412,2860389,2459433,0,6705548,1455838.5866016536,1439420.7460250158
20131218,4752,180215804,202220872,179244717,44534059,134710658,971087,10725473,191495399,50257836,141237563,3227970,2372802,0,5124701,1440485.173611111,1445115.8697390573
20131219,4783,233631357,164023344,232618878,97470048,135148830,1012479,15536057,148487287,21715384,126771903,6680578,2910410,0,5945069,1445702.1864938324,1431148.974492996
20131220,4854,133867400,153678963,132849845,39915508,92934337,1017555,19964515,133714448,33286473,100427975,10331829,3140205,0,6492481,1420474.247012773,1424555.739184178
20131221,4890,112000779,83151594,110979622,43066009,67913613,1021157,10610110,72541484,22399613,50141871,6510462,662530,0,3437118,1415916.3967280164,1410016.7678936606
20131222,4935,154543217,83998249,153531785,70446218,83085567,1011432,20715917,63282332,16987033,46295299,11297935,1687092,3230000,4500890,1417300.131306991,1403005.304964539
20131223,4979,198747367,138478245,197669761,70138872,127530889,1077606,24846016,113632229,40662170,72970059,16723533,2593550,0,5528933,1416879.9497891143,1404775.2858003615
20131224,5010,305406334,118607911,304333324,189794936,114538388,1073010,21559120,97048791,25956197,71092594,9827184,5653736,20000,6058200,1445397.9427145708,1408112.8283433134
20131225,5045,380076148,172755480,378896458,207488097,171408361,1179690,27956029,144799451,25199652,119599799,14095850,5859503,1120000,6880676,1476464.6899900893,1435370.4049554013
20131226,5077,220287409,241852564,219035100,86180958,132854142,1252309,21372055,220480509,21879648,198600861,9665563,3971893,200000,7534599,1462911.011621036,1467158.6293086468
20131227,5117,211118967,163522548,209818922,71581657,138237265,1300045,22373377,141149171,16737992,124411179,11444298,3800278,200,7128601,1460776.9444987297,1451475.31874145
20131228,5155,192808006,61383220,191506544,82079222,109427322,1301462,18517636,42865584,10339282,32526302,11610509,1046328,0,5860799,1475503.4744907857,1450008.8506304559
20131229,5176,161473347,55129989,160179393,80308840,79870553,1293954,15925186,39204803,5655465,33549338,7212414,1422026,10100,7280646,1490062.5519706337,1469517.080950541
20131230,5238,286358778,179826624,285062954,121679259,163383695,1295824,20652334,159174290,40393506,118780784,8770053,3669174,0,8213107,1492763.635547919,1472425.309087438
